,id,userId,stockId,groupId,semesterId,timestamp,price
18845,19087,78,8,23,2,2022-09-10 13:45:35,20.0
18852,19094,201,8,11,2,2022-09-10 15:04:36,20.0
18853,19095,88,21,21,2,2022-09-10 16:17:19,10.0
18854,19096,87,181,21,2,2022-09-10 16:17:31,25.0
18873,19115,155,54,12,2,2022-09-10 17:14:22,19.0
18880,19122,314,8,12,2,2022-09-10 17:29:19,20.0
18881,19123,78,89,23,2,2022-09-10 17:32:35,18.0
18884,19126,155,54,12,2,2022-09-10 18:20:22,19.0
18889,19131,151,8,12,2,2022-09-10 18:46:35,20.0
18910,19152,87,40,21,2,2022-09-10 19:15:11,15.0
18919,19161,87,40,21,2,2022-09-10 19:30:47,15.0
18934,19176,132,21,21,2,2022-09-10 19:56:08,10.0
18947,19189,103,8,12,2,2022-09-10 20:07:15,20.0
18948,19190,151,8,12,2,2022-09-10 20:18:57,20.0
18950,19192,199,8,12,2,2022-09-10 20:19:13,20.0
18953,19195,647,104,23,2,2022-09-10 21:10:32,31.0
18957,19199,98,8,12,2,2022-09-10 21:27:18,20.0
18962,19204,151,8,12,2,2022-09-10 21:35:07,20.0
18964,19206,98,8,12,2,2022-09-10 21:42:32,20.0
18967,19209,602,8,12,2,2022-09-10 21:56:32,20.0
18973,19215,400,21,21,2,2022-09-10 22:10:14,10.0
18984,19226,314,8,11,2,2022-09-10 22:21:50,20.0
18988,19230,81,54,12,2,2022-09-10 22:26:59,19.0
18996,19238,608,8,12,2,2022-09-10 23:05:41,20.0
19017,19259,81,8,12,2,2022-09-10 23:32:39,20.0
19052,19294,151,8,12,2,2022-09-11 00:07:02,20.0
19055,19297,640,33,21,2,2022-09-11 00:16:47,15.0
19073,19315,81,8,12,2,2022-09-11 00:41:59,20.0
19079,19321,640,21,21,2,2022-09-11 00:45:42,10.0
19110,19352,151,8,12,2,2022-09-11 00:58:49,20.0
19118,19360,314,54,12,2,2022-09-11 01:14:48,19.0
19119,19361,81,54,12,2,2022-09-11 01:14:55,19.0
19145,19387,117,21,21,2,2022-09-11 02:05:09,10.0
19146,19388,117,21,21,2,2022-09-11 02:05:09,10.0
19148,19390,113,8,12,2,2022-09-11 02:10:39,20.0
19155,19397,314,21,11,2,2022-09-11 02:18:35,21.0
19168,19410,450,21,21,2,2022-09-11 04:21:29,10.0
19169,19411,98,8,12,2,2022-09-11 08:53:35,20.0
19170,19412,113,8,12,2,2022-09-11 08:53:40,20.0
19171,19413,113,8,12,2,2022-09-11 10:26:30,20.0
19173,19415,298,8,6,2,2022-09-11 11:55:00,20.0
19174,19416,201,8,11,2,2022-09-11 12:42:08,20.0
19175,19417,97,129,19,2,2022-09-11 12:47:53,30.0
19176,19418,298,8,6,2,2022-09-11 12:52:41,20.0
19177,19419,113,54,12,2,2022-09-11 12:54:35,19.0
19178,19420,170,14,11,2,2022-09-11 13:01:15,18.0
19179,19421,212,8,29,2,2022-09-11 13:01:16,17.0
19180,19422,212,7,29,2,2022-09-11 13:01:16,18.0
19181,19423,153,8,30,2,2022-09-11 13:23:10,19.0
19185,19427,302,8,6,2,2022-09-11 14:03:34,20.0
19186,19428,331,8,6,2,2022-09-11 14:08:35,20.0
19187,19429,15,54,6,2,2022-09-11 14:14:41,20.0
19188,19430,15,54,6,2,2022-09-11 14:14:41,20.0
19189,19431,306,54,6,2,2022-09-11 14:20:02,20.0
19190,19432,124,14,11,2,2022-09-11 14:40:29,18.0
19192,19434,9,43,1,2,2022-09-11 14:52:52,19.0
19193,19435,9,14,1,2,2022-09-11 14:52:52,18.0
19195,19437,162,21,11,2,2022-09-11 14:53:40,21.0
19197,19439,201,8,11,2,2022-09-11 14:54:16,20.0
19198,19440,10,8,1,2,2022-09-11 15:02:08,19.0
19199,19441,6,14,1,2,2022-09-11 15:03:43,18.0
19200,19442,572,14,1,2,2022-09-11 15:04:04,18.0
19201,19443,60,14,1,2,2022-09-11 15:04:13,18.0
19203,19445,466,43,1,2,2022-09-11 15:46:18,19.0
19204,19446,381,128,19,2,2022-09-11 15:47:55,30.0
19205,19447,381,131,19,2,2022-09-11 15:47:55,17.0
19207,19449,331,8,6,2,2022-09-11 15:49:31,20.0
19209,19451,4,44,1,2,2022-09-11 16:09:22,19.0
19210,19452,10,134,19,2,2022-09-11 16:59:36,18.0
19211,19453,189,14,11,2,2022-09-11 17:04:24,18.0
19212,19454,9,43,1,2,2022-09-11 17:17:40,19.0
19213,19455,201,8,11,2,2022-09-11 17:26:26,20.0
19216,19458,371,134,19,2,2022-09-11 18:48:06,18.0
19217,19459,371,134,19,2,2022-09-11 18:51:36,18.0
19220,19462,113,54,12,2,2022-09-11 19:01:17,19.0
19267,19509,91,8,12,2,2022-09-12 07:58:59,20.0
19268,19510,331,54,6,2,2022-09-12 08:14:22,20.0
19269,19511,197,8,11,2,2022-09-12 08:58:13,20.0
19270,19512,96,8,12,2,2022-09-12 08:58:22,20.0
19271,19513,129,8,11,2,2022-09-12 09:15:30,20.0
19272,19514,549,43,29,2,2022-09-12 09:31:29,19.0
19273,19515,549,43,29,2,2022-09-12 09:31:29,19.0
19274,19516,549,43,29,2,2022-09-12 09:32:05,19.0
19275,19517,78,179,23,2,2022-09-12 09:48:17,16.0
